Genero,Peso,Altura
Mujer,61,162
Hombre,97,181
Hombre,73,172
Mujer,55,157
Mujer,56,151
Mujer,59,158
Hombre,77,172
Mujer,68,169
Mujer,53,155
Hombre,83,177
Mujer,60,166
Hombre,81,166
Hombre,95,182
Mujer,73,164
Mujer,62,167
Hombre,87,178
Mujer,66,157
Mujer,40,149
Mujer,41,146
Mujer,68,159
Mujer,61,159
Mujer,59,160
Mujer,63,164
Hombre,84,170
Hombre,76,165
Hombre,96,178
Hombre,83,166
Mujer,53,156
Mujer,57,156
Mujer,51,157
Hombre,90,173
Mujer,73,169
Mujer,31,145
Mujer,46,148
Mujer,66,167
Mujer,64,164
Mujer,78,174
Mujer,69,169
Mujer,60,157
Mujer,64,167
Mujer,53,155
Hombre,73,169
Hombre,90,171
Mujer,63,160
Mujer,57,158
Mujer,63,164
Mujer,57,156
Hombre,85,179
Hombre,90,178
Mujer,70,168
Mujer,63,163
Mujer,80,176
Mujer,52,159
Hombre,111,195
Mujer,60,154
Mujer,54,153
Hombre,87,169
Hombre,70,168
Mujer,50,154
Mujer,56,154
Hombre,86,184
Mujer,65,159
Hombre,66,155
Mujer,50,154
Hombre,81,175
Hombre,94,181
Mujer,71,169
Hombre,72,166
Mujer,65,169
Mujer,48,154
Hombre,87,175
Hombre,84,168
Mujer,69,164
Mujer,65,167
Mujer,56,155
Mujer,91,177
Mujer,69,172
Hombre,88,177
Mujer,57,168
Hombre,93,182
Hombre,61,150
Hombre,91,188
Hombre,77,176
Hombre,64,164
Mujer,78,173
Hombre,94,180
Hombre,86,171
Hombre,86,175
Hombre,83,177
Mujer,62,164
Mujer,64,161
Mujer,73,169
Hombre,100,185
Hombre,86,177
Mujer,53,153
Hombre,87,179
Mujer,65,160
Mujer,63,162
Mujer,57,158
Mujer,47,155
Hombre,91,178
Mujer,49,151
Hombre,79,166
Hombre,86,173
Hombre,91,180
Mujer,65,166
Hombre,104,186
Mujer,58,154
Mujer,42,146
Hombre,82,174
Hombre,72,169
Mujer,61,165
Hombre,80,171
Mujer,62,166
Mujer,72,170
Mujer,56,158
Hombre,80,173
Hombre,78,164
Hombre,78,174
Hombre,78,166
Mujer,61,163
Mujer,55,156
Hombre,94,184
Hombre,75,166
Mujer,62,162
Mujer,63,167
Mujer,58,157
Hombre,87,172
Hombre,88,175
Mujer,35,144
Hombre,71,167
Hombre,77,171
Hombre,77,172
Mujer,63,159
Hombre,93,175
Hombre,71,166
Hombre,105,185
Mujer,63,157
Mujer,60,170
Mujer,52,151
Mujer,66,162
Mujer,52,157
Hombre,81,173
Hombre,90,180
Hombre,77,171
Hombre,90,181
Hombre,86,175
Hombre,70,168
Mujer,61,161
Mujer,74,175
Mujer,78,171
Hombre,84,173
Mujer,56,155
Mujer,47,147
Mujer,58,163
Mujer,63,159
Mujer,59,159
Hombre,88,181
Hombre,86,174
Hombre,90,177
Hombre,83,177
Hombre,71,164
Mujer,61,165
Mujer,59,160
Mujer,77,172
Hombre,70,170
Mujer,66,169
Hombre,89,174
Hombre,88,177
Hombre,93,177
Mujer,57,159
Mujer,64,165
Mujer,67,167
Hombre,80,173
Mujer,51,153
Hombre,90,181
Hombre,98,184
Hombre,86,177
Mujer,51,148
Hombre,87,173
Hombre,83,171
Mujer,52,153
Mujer,46,153
Hombre,99,188
Hombre,74,158
Mujer,53,160
Mujer,55,149
Mujer,46,151
Hombre,71,162
Mujer,63,157
Mujer,58,157
Hombre,81,172
Mujer,66,168
Mujer,55,156
Mujer,55,160
Hombre,57,153
Hombre,92,172
Mujer,55,166
Mujer,54,156
Hombre,80,170
Hombre,79,169
Hombre,94,189
Mujer,60,165
Mujer,56,157
Mujer,54,157
Mujer,64,164
Hombre,94,180
Mujer,57,152
Hombre,83,171
Mujer,59,165
Mujer,60,162
Mujer,65,159
Mujer,60,155
Mujer,69,164
Mujer,55,157
Hombre,98,186
Mujer,55,156
Hombre,85,171
Hombre,69,175
Hombre,81,175
Mujer,74,174
Mujer,52,147
Mujer,61,164
Hombre,91,178
Mujer,62,159
Hombre,73,168
Hombre,85,183
Hombre,89,186
Hombre,92,183
Mujer,68,161
Hombre,90,185
Mujer,68,164
Hombre,90,178
Hombre,80,172
Hombre,81,172
Hombre,92,177
Mujer,68,162
Hombre,86,177
Hombre,75,172
Mujer,50,148
Hombre,88,176
Mujer,61,160
Mujer,58,163
Mujer,55,161
Hombre,92,176
Hombre,79,168
Mujer,59,154
Hombre,80,170
Mujer,55,157
Mujer,59,164
Hombre,70,165
Hombre,81,176
Hombre,91,178
Mujer,51,157
Hombre,96,176
Hombre,84,178
Mujer,63,165
Mujer,53,149
Hombre,85,176
Hombre,83,172
Hombre,104,184
Hombre,72,169
Hombre,86,176
Hombre,83,176
Hombre,80,166
Mujer,63,164
Hombre,95,179
Hombre,74,170
Hombre,93,179
Hombre,83,174
Hombre,90,185
Hombre,85,176
Mujer,75,168
Hombre,69,159
Hombre,102,194
Mujer,73,168
Hombre,90,176
Mujer,68,173
Mujer,57,156
Hombre,92,177
Mujer,54,151
Hombre,98,186
Mujer,48,148
Mujer,55,159
Hombre,91,175
Hombre,87,178
Mujer,62,165
Hombre,80,173
Mujer,69,165
Hombre,81,170
Mujer,77,167
Mujer,62,159
Mujer,54,154
Hombre,92,177
Mujer,69,175
Mujer,70,171
Hombre,94,187
Mujer,67,171
Hombre,78,168
Hombre,83,176
Mujer,67,167
Mujer,57,158
Mujer,67,167
Mujer,51,156
Mujer,53,155
Hombre,88,177
Mujer,56,158
Mujer,53,157
Hombre,78,165
Hombre,90,175
Mujer,67,166
Hombre,89,177
Hombre,100,191
Hombre,69,159
Hombre,68,164
Mujer,47,146
Hombre,81,168
Mujer,55,151
Hombre,81,175
Hombre,67,162
Hombre,72,166
Hombre,83,169
Hombre,91,186
Hombre,81,164
Mujer,61,155
Mujer,49,156
Mujer,50,153
Hombre,90,176
Mujer,63,163
Hombre,69,162
Hombre,82,175
Mujer,62,167
Mujer,74,172
Mujer,58,158
Hombre,62,159
Hombre,80,169
Hombre,88,178
Mujer,76,176
Mujer,77,175
Hombre,95,181
Hombre,74,168
Mujer,68,162
Hombre,78,169
Mujer,54,156
Hombre,76,170
Mujer,63,162
Mujer,75,176
Mujer,62,157
Mujer,57,156
Hombre,90,184
Hombre,100,185
Hombre,84,177
Hombre,82,168
Hombre,70,163
Mujer,62,161
Mujer,68,164
Mujer,54,158
Mujer,62,159
Hombre,86,179
Hombre,101,187
Mujer,74,165
Hombre,88,173
Hombre,90,183
Mujer,85,174
Hombre,74,170
Hombre,78,169
Hombre,82,177
Hombre,82,174
Hombre,97,176
Hombre,84,168
Hombre,92,170
Mujer,49,148
Hombre,93,182
Hombre,93,185
Mujer,70,169
Mujer,62,160
Mujer,64,157
Hombre,73,170
Mujer,49,150
Mujer,62,163
Mujer,56,156
Hombre,69,161
Hombre,98,186
Hombre,92,183
Mujer,56,159
Mujer,61,167
Mujer,52,153
Mujer,59,163
Mujer,71,169
Mujer,43,147
Mujer,63,165
Mujer,60,163
Hombre,87,176
Hombre,87,178
Hombre,74,161
Hombre,78,175
Mujer,63,163
Hombre,80,168
Hombre,75,171
Mujer,65,163
Mujer,40,144
Hombre,86,174
Hombre,94,187
Mujer,60,159
Hombre,77,171
Hombre,88,173
Mujer,72,167
Hombre,84,178
Hombre,94,178
Hombre,74,166
Mujer,66,171
Mujer,57,159
Hombre,96,186
Hombre,93,191
Mujer,56,160
Mujer,62,165
Hombre,82,179
Mujer,48,148
Hombre,101,186
Hombre,91,180
Hombre,69,173
Hombre,88,178
Hombre,83,175
Hombre,92,183
Hombre,71,169
Hombre,88,184
Mujer,60,162
Mujer,75,171
Hombre,81,168
Hombre,102,186
Hombre,86,179
Hombre,99,180
Mujer,62,165
Mujer,52,156
Hombre,76,171
Hombre,95,181
Hombre,87,183
Mujer,44,150
Mujer,57,154
Mujer,57,161
Mujer,63,163
Hombre,88,179
Hombre,108,194
Mujer,68,170
Hombre,92,183
Hombre,76,167
Mujer,69,166
Hombre,78,172
Mujer,59,166
Mujer,76,172
Hombre,96,182
Hombre,93,185
Mujer,73,174
Hombre,97,186
Hombre,82,174
Hombre,84,170
Hombre,86,170
Hombre,97,185
Hombre,94,185
Mujer,57,162
Mujer,50,157
Mujer,66,171
Mujer,73,171
Hombre,90,178
Mujer,60,161
Mujer,51,157
Mujer,52,156
Mujer,64,161
Hombre,85,172
Hombre,73,163
Mujer,71,168
Hombre,77,167
Mujer,63,163
Hombre,90,173
Hombre,92,184
Hombre,90,175
Mujer,74,175
Hombre,73,166
Mujer,64,160
Mujer,69,167
Mujer,61,166
Mujer,53,157
Hombre,89,182
Mujer,51,160
Hombre,76,161
Mujer,59,166
Hombre,83,171
Hombre,84,178
Mujer,56,156
Mujer,59,158
Hombre,71,171
Mujer,70,162
Mujer,80,177
Mujer,47,152
Mujer,58,152
Hombre,63,157
Mujer,68,169
Mujer,49,151
Hombre,82,177
Hombre,80,176
Mujer,58,167
Mujer,57,159
Hombre,78,170
Hombre,85,172
Mujer,75,174
Mujer,60,156
Mujer,60,162
Mujer,61,169
Hombre,78,168
Hombre,91,183
Mujer,59,157
Hombre,81,171
Mujer,52,162
Hombre,99,185
Hombre,76,173
Hombre,86,177
Hombre,86,174
Mujer,73,171
Hombre,81,168
Mujer,75,166
Mujer,44,145
Hombre,91,182
Mujer,59,159
Mujer,57,161
Mujer,61,161
Hombre,82,174
Mujer,58,160
Mujer,62,162
Hombre,101,185
Mujer,73,175
Hombre,91,182
Mujer,53,160
Mujer,54,155
Hombre,97,183
Hombre,84,166
Mujer,67,164
Hombre,87,179
Hombre,69,164
Mujer,58,159
Hombre,87,180
Hombre,91,175
Hombre,96,178
Hombre,62,164
Mujer,60,165
Hombre,89,172
Hombre,70,169
Mujer,58,166
Mujer,64,158
Mujer,56,146
Mujer,88,178
Hombre,92,177
Mujer,63,160
Mujer,61,160
Mujer,70,169
Hombre,74,163
Hombre,79,170
Hombre,93,181
Mujer,52,155
Hombre,91,175
Mujer,51,155
Hombre,100,182
Hombre,90,182
Mujer,55,157
Mujer,66,167
Hombre,86,180
Mujer,62,160
Hombre,86,180
Mujer,67,164
Hombre,83,175
Mujer,60,157
Mujer,48,155
Mujer,46,145
Hombre,74,166
Hombre,83,179
Hombre,62,165
Hombre,89,178
Mujer,61,159
Hombre,78,171
Mujer,49,154
Mujer,71,175
Mujer,68,166
Mujer,57,160
Mujer,59,160
Mujer,59,160
Mujer,64,155
Mujer,67,164
Mujer,57,159
Mujer,54,152
Mujer,57,160
Hombre,92,181
Hombre,73,174
Hombre,94,188
Hombre,93,182
Mujer,65,165
Hombre,82,164
Hombre,90,180
Mujer,56,157
Mujer,61,158
Mujer,50,158
Mujer,50,154
Mujer,72,171
Hombre,109,190
Hombre,77,172
Hombre,78,173
Mujer,65,166
Hombre,94,180
Hombre,86,181
Hombre,76,172
Mujer,58,159
Mujer,51,154
Mujer,55,157
Mujer,73,168
Hombre,76,175
Hombre,87,173
Hombre,78,179
Hombre,78,173
Mujer,62,158
Hombre,85,174
Hombre,88,174
Hombre,74,169
Mujer,61,163
Mujer,50,148
Hombre,115,197
Mujer,52,147
Mujer,41,149
Hombre,87,178
Mujer,66,168
Hombre,83,169
Mujer,67,159
Hombre,75,164
Hombre,87,172
Mujer,50,156
Mujer,79,174
Mujer,51,150
Mujer,61,159
Hombre,94,178
Hombre,82,178
Hombre,75,168
Mujer,61,156
Hombre,66,167
Mujer,53,151
Mujer,54,153
Mujer,69,162
Mujer,68,163
Mujer,62,163
Hombre,76,170
Hombre,95,185
Hombre,84,178
Hombre,84,177
Mujer,65,160
Hombre,83,170
Mujer,67,165
Mujer,55,155
Hombre,95,177
Mujer,50,150
Hombre,78,178
Mujer,71,168
Hombre,78,166
Hombre,83,176
Hombre,83,171
Hombre,80,171
Hombre,75,172
Mujer,79,176
Mujer,46,158
Mujer,66,165
Mujer,72,171
Hombre,93,180
Hombre,97,186
Mujer,80,173
Mujer,74,176
Mujer,71,168
Hombre,93,181
Mujer,71,164
Hombre,87,171
Mujer,58,161
Mujer,72,172
Hombre,88,173
Mujer,58,152
Hombre,90,176
Hombre,85,177
Hombre,83,180
Mujer,58,156
Hombre,85,175
Mujer,53,165
Hombre,76,171
Hombre,82,177
Hombre,94,177
Mujer,53,161
Hombre,74,165
Mujer,63,159
Mujer,59,163
Mujer,62,160
Mujer,65,165
Mujer,63,163
Mujer,63,161
Mujer,44,146
Hombre,83,174
Mujer,63,162
Hombre,84,177
Mujer,48,159
Mujer,65,162
Hombre,77,172
Mujer,47,153
Hombre,70,166
Hombre,71,167
Hombre,85,180
Hombre,77,169
Mujer,57,153
Hombre,88,176
Hombre,72,169
Mujer,55,153
Hombre,90,175
Hombre,88,171
Mujer,67,169
Hombre,91,182
Mujer,58,166
Hombre,83,168
Mujer,54,159
Mujer,62,159
Hombre,89,174
Hombre,103,191
Hombre,89,179
Hombre,81,176
Hombre,76,157
Hombre,82,169
Hombre,75,172
Hombre,81,175
Hombre,84,175
Hombre,96,183
Mujer,48,149
Hombre,92,184
Mujer,61,160
Hombre,80,166
Hombre,99,186
Mujer,71,167
Mujer,54,154
Mujer,73,166
Mujer,46,153
Hombre,70,168
Hombre,72,170
